Обязанность,Частота,Количество,307
аппаратный,241,1,
неисправность,245,1,
монтаж,249,1,
виртуализация,250,1,
подключение,252,1,
развёртывание,253,1,
confluence,256,1,
распределение,258,1,
поставка,260,1,
торговый,264,1,
облачный,268,1,
ux/ui,268,1,
методика,270,1,
строить,271,1,
сборка,271,1,
заказ,271,1,
crm,276,1,
визуализация,277,1,
отладка,277,1,
доставка,282,1,
распределённый,284,1,
спецификация,297,1,
канал,299,1,
гипотеза,300,1,
стратегический,301,1,
проработка,302,1,
копирование,308,1,
оператор,317,1,
закупка,318,1,
приёмка,319,1,
банковский,324,1,
модернизация,335,1,
персонал,336,1,
хранение,345,1,
товар,356,1,
сайт,357,1,
высоконагруженный,360,1,
актуализация,363,1,
инновационный,370,1,
нормативный,381,1,
формировать,388,1,
собеседование,390,1,
подбор,398,1,
ремонт,418,1,
определение,420,1,
программирование,421,1,
подрядчик,428,1,
серверный,439,1,
данные,444,1,
устройство,445,1,
интерфейс,448,1,
бюджет,467,1,
предоставление,468,1,
расчёт,468,1,
запуск,501,1,
метрика,516,1,
партнёр,554,1,
методология,556,1,
мобильный,559,1,
пользовательский,561,1,
дизайн,565,1,
аналитика,574,1,
риск,589,1,
сервер,617,1,
операционный,618,1,
презентация,621,1,
оформление,622,1,
технологический,656,1,
коммуникация,685,1,
инцидент,689,1,
установка,700,1,
поддержка,704,1,
инструкция,705,1,
соблюдение,707,1,
доступ,714,1,
коммерческий,733,1,
продажа,754,1,
техника,754,1,
выявление,772,1,
функционал,784,1,
эксплуатация,792,1,
финансовый,793,1,
производство,809,1,
модель,810,1,
доработка,822,1,
код,823,1,
улучшение,824,1,
построение,827,1,
план,840,1,
устранение,884,1,
сбор,938,1,
оценка,952,1,
приложение,957,1,
обслуживание,957,1,
помощь,959,1,
написание,974,1,
инфраструктура,975,1,
запрос,977,1,
сетевой,989,1,
связь,1026,1,
администрирование,1026,1,
учёт,1038,1,
планирование,1097,1,
бизнес,1105,1,
обработка,1110,1,
отчёт,1110,1,
системный,1179,1,
поиск,1217,1,
сеть,1220,1,
платформа,1230,1,
формирование,1284,1,
архитектура,1296,1,
заказчик,1300,1,
безопасность,1309,1,
интеграция,1343,1,
программа,1379,1,
обучение,1448,1,
автоматизация,1489,1,
технология,1553,1,
клиент,1554,1,
тестирование,1580,1,
оптимизация,1618,1,
сервис,1625,1,
сопровождение,1683,1,
оборудование,1695,1,
проектирование,1713,1,
настройка,1814,1,
проведение,1825,1,
выполнение,1838,1,
реализация,2022,1,
пользователь,2088,1,
документация,2186,1,
внедрение,2268,1,
создание,2272,1,
продукт,2338,1,
обеспечение,2755,1,
контроль,2979,1,
анализ,2993,1,
управление,3090,1,
разработка,5535,1,
